Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
GBA,Pan francés,kg,Año 2017 - Junio,38.64,2017,Junio,201706.0
GBA,Harina de trigo común,kg,Año 2017 - Junio,10.67,2017,Junio,201706.0
GBA,Arroz blanco simple,kg,Año 2017 - Junio,20.96,2017,Junio,201706.0
GBA,Fideos secos tipo guisero,500 g,Año 2017 - Junio,19.08,2017,Junio,201706.0
GBA,Carne picada común,kg,Año 2017 - Junio,72.2,2017,Junio,201706.0
GBA,Pollo entero,kg,Año 2017 - Junio,34.45,2017,Junio,201706.0
GBA,Aceite de girasol,"1,5 litros",Año 2017 - Junio,50.41,2017,Junio,201706.0
GBA,Leche fresca entera sachet,Litro,Año 2017 - Junio,20.96,2017,Junio,201706.0
GBA,Huevos de gallina,Docena,Año 2017 - Junio,33.23,2017,Junio,201706.0
GBA,Papa,kg,Año 2017 - Junio,13.9,2017,Junio,201706.0
GBA,Azúcar,kg,Año 2017 - Junio,19.16,2017,Junio,201706.0
GBA,Detergente líquido,750 cc,Año 2017 - Junio,19.53,2017,Junio,201706.0
GBA,Lavandina,1.000 cc,Año 2017 - Junio,15.7,2017,Junio,201706.0
GBA,Jabón de tocador,125 g,Año 2017 - Junio,13.99,2017,Junio,201706.0
Pampeana,Pan francés,kg,Año 2017 - Junio,31.42,2017,Junio,201706.0
Pampeana,Harina de trigo común,kg,Año 2017 - Junio,11.19,2017,Junio,201706.0
Pampeana,Arroz blanco simple,kg,Año 2017 - Junio,20.79,2017,Junio,201706.0
Pampeana,Fideos secos tipo guisero,500 g,Año 2017 - Junio,16.91,2017,Junio,201706.0
Pampeana,Carne picada común,kg,Año 2017 - Junio,76.04,2017,Junio,201706.0
Pampeana,Pollo entero,kg,Año 2017 - Junio,36.61,2017,Junio,201706.0
Pampeana,Aceite de girasol,"1,5 litros",Año 2017 - Junio,52.46,2017,Junio,201706.0
Pampeana,Leche fresca entera sachet,Litro,Año 2017 - Junio,22.63,2017,Junio,201706.0
Pampeana,Huevos de gallina,Docena,Año 2017 - Junio,33.0,2017,Junio,201706.0
Pampeana,Papa,kg,Año 2017 - Junio,13.59,2017,Junio,201706.0
Pampeana,Azúcar,kg,Año 2017 - Junio,18.62,2017,Junio,201706.0
Pampeana,Detergente líquido,750 cc,Año 2017 - Junio,21.94,2017,Junio,201706.0
Pampeana,Lavandina,1.000 cc,Año 2017 - Junio,14.7,2017,Junio,201706.0
Pampeana,Jabón de tocador,125 g,Año 2017 - Junio,14.27,2017,Junio,201706.0
Noreste,Pan francés,kg,Año 2017 - Junio,28.67,2017,Junio,201706.0
Noreste,Harina de trigo común,kg,Año 2017 - Junio,11.35,2017,Junio,201706.0
Noreste,Arroz blanco simple,kg,Año 2017 - Junio,19.82,2017,Junio,201706.0
Noreste,Fideos secos tipo guisero,500 g,Año 2017 - Junio,14.4,2017,Junio,201706.0
Noreste,Carne picada común,kg,Año 2017 - Junio,68.67,2017,Junio,201706.0
Noreste,Pollo entero,kg,Año 2017 - Junio,37.3,2017,Junio,201706.0
Noreste,Aceite de girasol,"1,5 litros",Año 2017 - Junio,51.08,2017,Junio,201706.0
Noreste,Leche fresca entera sachet,Litro,Año 2017 - Junio,22.53,2017,Junio,201706.0
Noreste,Huevos de gallina,Docena,Año 2017 - Junio,29.33,2017,Junio,201706.0
Noreste,Papa,kg,Año 2017 - Junio,13.21,2017,Junio,201706.0
Noreste,Azúcar,kg,Año 2017 - Junio,17.9,2017,Junio,201706.0
Noreste,Detergente líquido,750 cc,Año 2017 - Junio,19.93,2017,Junio,201706.0
Noreste,Lavandina,1.000 cc,Año 2017 - Junio,16.07,2017,Junio,201706.0
Noreste,Jabón de tocador,125 g,Año 2017 - Junio,14.23,2017,Junio,201706.0
Noroeste,Pan francés,kg,Año 2017 - Junio,32.32,2017,Junio,201706.0
Noroeste,Harina de trigo común,kg,Año 2017 - Junio,10.53,2017,Junio,201706.0
Noroeste,Arroz blanco simple,kg,Año 2017 - Junio,18.48,2017,Junio,201706.0
Noroeste,Fideos secos tipo guisero,500 g,Año 2017 - Junio,13.44,2017,Junio,201706.0
Noroeste,Carne picada común,kg,Año 2017 - Junio,81.89,2017,Junio,201706.0
Noroeste,Pollo entero,kg,Año 2017 - Junio,36.0,2017,Junio,201706.0
Noroeste,Aceite de girasol,"1,5 litros",Año 2017 - Junio,51.46,2017,Junio,201706.0
Noroeste,Leche fresca entera sachet,Litro,Año 2017 - Junio,21.55,2017,Junio,201706.0
Noroeste,Huevos de gallina,Docena,Año 2017 - Junio,30.08,2017,Junio,201706.0
Noroeste,Papa,kg,Año 2017 - Junio,11.33,2017,Junio,201706.0
Noroeste,Azúcar,kg,Año 2017 - Junio,16.35,2017,Junio,201706.0
Noroeste,Detergente líquido,750 cc,Año 2017 - Junio,23.05,2017,Junio,201706.0
